7 Service,35 Death,27 Cas,31 Country Or Water,32 Unit
Service,Date,Province,Country,Unit
AIR FORCE,08/06/1956,,SOUTH VIETNAM,
ARMY,21/10/1957,KHANH HOA,SOUTH VIETNAM,
AIR FORCE,08/07/1959,,SOUTH VIETNAM,MAAG VIET
ARMY,08/07/1959,,SOUTH VIETNAM,MACV ADVISORS
AIR FORCE,17/02/1960,,SOUTH VIETNAM,
AIR FORCE,17/02/1960,,SOUTH VIETNAM,
AIR FORCE,17/02/1960,,SOUTH VIETNAM,
AIR FORCE,21/02/1960,,SOUTH VIETNAM,
ARMY,31/08/1960,,SOUTH VIETNAM,
ARMY,06/01/1961,,SOUTH VIETNAM,7 FLT
ARMY,23/03/1961,,LAOS,314 AIR DIV
ARMY,23/03/1961,,LAOS,314 AIR DIV
ARMY,23/03/1961,,LAOS,TDY ARMY ATTACHE OFFICE VIENT
AIR FORCE,23/03/1961,,LAOS,
NAVY,23/03/1961,,LAOS,
ARMY,23/03/1961,,LAOS,
ARMY,23/03/1961,,LAOS,
AIR FORCE,20/04/1961,GIA DINH,SOUTH VIETNAM,MACV ADVISORS
ARMY,22/04/1961,,LAOS,B CO 7 SF GP ABN 1 SF
AIR FORCE,22/04/1961,,LAOS,B CO 7 SF GP ABN 1 SF GRP
ARMY,22/04/1961,,LAOS,I SPFC GP
AIR FORCE,30/06/1961,GIA DINH,SOUTH VIETNAM,MACV ADVISORS
AIR FORCE,10/08/1961,,THAILAND,
AIR FORCE,15/08/1961,,THAILAND,
ARMY,22/12/1961,,SOUTH VIETNAM,3 RAD RES UT MACV
AIR FORCE,13/01/1962,,SOUTH VIETNAM,SPECIAL FORCES
AIR FORCE,13/01/1962,,SOUTH VIETNAM,
AIR FORCE,28/01/1962,,LAOS,
AIR FORCE,02/02/1962,BIEN HOA,SOUTH VIETNAM,
AIR FORCE,02/02/1962,BIEN HOA,SOUTH VIETNAM,
ARMY,02/02/1962,BIEN HOA,SOUTH VIETNAM,
ARMY,11/02/1962,,SOUTH VIETNAM,MACV ADVISORS
ARMY,11/02/1962,,SOUTH VIETNAM,MACV ADVISORS
ARMY,11/02/1962,UNKNOWN,SOUTH VIETNAM,
AIR FORCE,11/02/1962,LAM DONG,SOUTH VIETNAM,
AIR FORCE,11/02/1962,UNKNOWN,SOUTH VIETNAM,
ARMY,11/02/1962,UNKNOWN,SOUTH VIETNAM,
ARMY,11/02/1962,UNKNOWN,SOUTH VIETNAM,
ARMY,11/02/1962,UNKNOWN,SOUTH VIETNAM,
AIR FORCE,17/02/1962,,SOUTH VIETNAM,
ARMY,10/03/1962,,SOUTH VIETNAM,
NAVY,02/04/1962,GIA DINH,SOUTH VIETNAM,
ARMY,06/04/1962,,LAOS,
ARMY,06/04/1962,,LAOS,
