Province,Lng,Lat
AN GIANG,105.1259,10.521584
AN XUGEN,105.283333,9.266667
ANXUYEN,105.283333,9.266667
BA XUGEN,105.833333,9.66666
BAC LIEU,105.51365,9.251556
BIEN HOA,106.84269,10.957413
BINH DINH,108.90268,14.166532
BINH DUONG,106.666667,11.166667
BINH LONG,106.60555,11.692203
BINH THUAN,108.07208,11.09037
BINH THUY,105.7381,10.062257
BONG SON,109.01423,14.432433
CHAU DOC,105.0824,10.682081
CHUONG THIEN,107.54504,16.452421
CON SON ISLAND,106.61145,8.700928
DARLAC,108.23775,12.710012
DINH TUONG,106.35,10.35
GIA DINH,106.62966,10.823099
GO CONG,106.6645,10.410649
HAU NGHIA,106.390485,10.899822
HUA NGHIA,106.390485,10.899822
KHANH HOA,109.05261,12.25851
KIEN GIANG,105.1259,9.824959
KIEN HOA,106.68084,10.768642
KIEN PHONG,105.7667,10.3
KIEN TUONG,105.8995,10.766709
KONTUM,108.00046,14.34974
LAM DONG,108.14287,11.575279
LONG AN,106.24312,10.695572
LONG KHANH,107.23118,10.944261
NINH THUAN,108.86296,11.673877
OFFSHORE,109.5,17.5
PHONG DINH,105.783333,10.033333
PHU BON,108.39898,13.374339
PHU QUOC ISLAND,103.98402,10.289879
PHU YEN,109.09288,13.088186
PHUOC LONG,106.99351,11.840778
PHUOC TUY,107.25,10.583333
PLEIKU,108.01508,13.971836
Province,108.5,16.5
QUANG DUC,107.7,11.983333
QUANG NAM,108.0191,15.539354
QUANG NGAI,108.71258,15.075984
QUANG TIN,107.44403,11.959574
QUANG TRI,106.96341,16.794347
SA DEC,105.74685,10.305768
TAY NINH,106.11928,11.367541
THUA THIEN,107.59053,16.467397
TUYEN DUC,108.438333,11.941667
UNKNOWN,109,16
VINH BINH,106.576111,10.345
VINH LONG,105.95887,10.244844
